group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Borrow Mut,Clone,,,,1302802.0,ns,1547
Borrow Mut,Clone,,,,3493082.0,ns,3094
Borrow Mut,Clone,,,,3359381.0,ns,4641
Borrow Mut,Clone,,,,4220600.0,ns,6188
Borrow Mut,Clone,,,,4585483.0,ns,7735
Borrow Mut,Clone,,,,5905706.0,ns,9282
Borrow Mut,Clone,,,,6443010.0,ns,10829
Borrow Mut,Clone,,,,7419590.0,ns,12376
Borrow Mut,Clone,,,,8779727.0,ns,13923
Borrow Mut,Clone,,,,9522775.0,ns,15470
Borrow Mut,Clone,,,,10373375.0,ns,17017
Borrow Mut,Clone,,,,11457249.0,ns,18564
Borrow Mut,Clone,,,,11992930.0,ns,20111
Borrow Mut,Clone,,,,13402678.0,ns,21658
Borrow Mut,Clone,,,,14003981.0,ns,23205
Borrow Mut,Clone,,,,14588717.0,ns,24752
Borrow Mut,Clone,,,,16100063.0,ns,26299
Borrow Mut,Clone,,,,18139676.0,ns,27846
Borrow Mut,Clone,,,,18023067.0,ns,29393
Borrow Mut,Clone,,,,18487370.0,ns,30940
Borrow Mut,Clone,,,,19331900.0,ns,32487
Borrow Mut,Clone,,,,21993668.0,ns,34034
Borrow Mut,Clone,,,,25027627.0,ns,35581
Borrow Mut,Clone,,,,22434355.0,ns,37128
Borrow Mut,Clone,,,,23639261.0,ns,38675
Borrow Mut,Clone,,,,23722549.0,ns,40222
Borrow Mut,Clone,,,,24826971.0,ns,41769
Borrow Mut,Clone,,,,26414096.0,ns,43316
Borrow Mut,Clone,,,,26336425.0,ns,44863
Borrow Mut,Clone,,,,27504941.0,ns,46410
Borrow Mut,Clone,,,,27369845.0,ns,47957
Borrow Mut,Clone,,,,29070820.0,ns,49504
Borrow Mut,Clone,,,,30273920.0,ns,51051
Borrow Mut,Clone,,,,31343529.0,ns,52598
Borrow Mut,Clone,,,,31279044.0,ns,54145
Borrow Mut,Clone,,,,33358316.0,ns,55692
Borrow Mut,Clone,,,,34467616.0,ns,57239
Borrow Mut,Clone,,,,34745780.0,ns,58786
Borrow Mut,Clone,,,,40868525.0,ns,60333
Borrow Mut,Clone,,,,35967917.0,ns,61880
Borrow Mut,Clone,,,,37379540.0,ns,63427
Borrow Mut,Clone,,,,37490908.0,ns,64974
Borrow Mut,Clone,,,,43073534.0,ns,66521
Borrow Mut,Clone,,,,41219033.0,ns,68068
Borrow Mut,Clone,,,,42609890.0,ns,69615
Borrow Mut,Clone,,,,42782280.0,ns,71162
Borrow Mut,Clone,,,,44430140.0,ns,72709
Borrow Mut,Clone,,,,45361989.0,ns,74256
Borrow Mut,Clone,,,,46361348.0,ns,75803
Borrow Mut,Clone,,,,46160521.0,ns,77350
Borrow Mut,Clone,,,,46742101.0,ns,78897
Borrow Mut,Clone,,,,50929858.0,ns,80444
Borrow Mut,Clone,,,,53785256.0,ns,81991
Borrow Mut,Clone,,,,51399473.0,ns,83538
Borrow Mut,Clone,,,,50742749.0,ns,85085
Borrow Mut,Clone,,,,49994627.0,ns,86632
Borrow Mut,Clone,,,,54643156.0,ns,88179
Borrow Mut,Clone,,,,51699292.0,ns,89726
Borrow Mut,Clone,,,,54238185.0,ns,91273
Borrow Mut,Clone,,,,55814542.0,ns,92820
Borrow Mut,Clone,,,,57037170.0,ns,94367
Borrow Mut,Clone,,,,57337229.0,ns,95914
Borrow Mut,Clone,,,,58234954.0,ns,97461
Borrow Mut,Clone,,,,58402479.0,ns,99008
Borrow Mut,Clone,,,,60538705.0,ns,100555
Borrow Mut,Clone,,,,61650606.0,ns,102102
Borrow Mut,Clone,,,,65401660.0,ns,103649
Borrow Mut,Clone,,,,64750933.0,ns,105196
Borrow Mut,Clone,,,,63241233.0,ns,106743
Borrow Mut,Clone,,,,67083205.0,ns,108290
Borrow Mut,Clone,,,,64268652.0,ns,109837
Borrow Mut,Clone,,,,64748870.0,ns,111384
Borrow Mut,Clone,,,,65225009.0,ns,112931
Borrow Mut,Clone,,,,67042884.0,ns,114478
Borrow Mut,Clone,,,,71036011.0,ns,116025
Borrow Mut,Clone,,,,70401816.0,ns,117572
Borrow Mut,Clone,,,,71081051.0,ns,119119
Borrow Mut,Clone,,,,72940896.0,ns,120666
Borrow Mut,Clone,,,,81182448.0,ns,122213
Borrow Mut,Clone,,,,72817928.0,ns,123760
Borrow Mut,Clone,,,,78236716.0,ns,125307
Borrow Mut,Clone,,,,76309735.0,ns,126854
Borrow Mut,Clone,,,,74469013.0,ns,128401
Borrow Mut,Clone,,,,92532690.0,ns,129948
Borrow Mut,Clone,,,,81390628.0,ns,131495
Borrow Mut,Clone,,,,80003406.0,ns,133042
Borrow Mut,Clone,,,,77075128.0,ns,134589
Borrow Mut,Clone,,,,81549543.0,ns,136136
Borrow Mut,Clone,,,,81003882.0,ns,137683
Borrow Mut,Clone,,,,90908109.0,ns,139230
Borrow Mut,Clone,,,,89360730.0,ns,140777
Borrow Mut,Clone,,,,96270357.0,ns,142324
Borrow Mut,Clone,,,,86501237.0,ns,143871
Borrow Mut,Clone,,,,85946279.0,ns,145418
Borrow Mut,Clone,,,,84969018.0,ns,146965
Borrow Mut,Clone,,,,91883992.0,ns,148512
Borrow Mut,Clone,,,,86040683.0,ns,150059
Borrow Mut,Clone,,,,85951464.0,ns,151606
Borrow Mut,Clone,,,,88152499.0,ns,153153
Borrow Mut,Clone,,,,95474058.0,ns,154700
