group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Borrow Mut,Clone,,,,1250029.0,ns,1689
Borrow Mut,Clone,,,,2882500.0,ns,3378
Borrow Mut,Clone,,,,4426949.0,ns,5067
Borrow Mut,Clone,,,,3962586.0,ns,6756
Borrow Mut,Clone,,,,5098241.0,ns,8445
Borrow Mut,Clone,,,,6665942.0,ns,10134
Borrow Mut,Clone,,,,7976839.0,ns,11823
Borrow Mut,Clone,,,,7275888.0,ns,13512
Borrow Mut,Clone,,,,8045695.0,ns,15201
Borrow Mut,Clone,,,,9580277.0,ns,16890
Borrow Mut,Clone,,,,10568748.0,ns,18579
Borrow Mut,Clone,,,,11545942.0,ns,20268
Borrow Mut,Clone,,,,12626870.0,ns,21957
Borrow Mut,Clone,,,,13647778.0,ns,23646
Borrow Mut,Clone,,,,14865733.0,ns,25335
Borrow Mut,Clone,,,,15679343.0,ns,27024
Borrow Mut,Clone,,,,16579684.0,ns,28713
Borrow Mut,Clone,,,,17643009.0,ns,30402
Borrow Mut,Clone,,,,18656408.0,ns,32091
Borrow Mut,Clone,,,,19504080.0,ns,33780
Borrow Mut,Clone,,,,20552886.0,ns,35469
Borrow Mut,Clone,,,,21749479.0,ns,37158
Borrow Mut,Clone,,,,23533038.0,ns,38847
Borrow Mut,Clone,,,,26618478.0,ns,40536
Borrow Mut,Clone,,,,24157156.0,ns,42225
Borrow Mut,Clone,,,,24858425.0,ns,43914
Borrow Mut,Clone,,,,25187774.0,ns,45603
Borrow Mut,Clone,,,,27117477.0,ns,47292
Borrow Mut,Clone,,,,28046025.0,ns,48981
Borrow Mut,Clone,,,,29075470.0,ns,50670
Borrow Mut,Clone,,,,29983278.0,ns,52359
Borrow Mut,Clone,,,,30978648.0,ns,54048
Borrow Mut,Clone,,,,33065640.0,ns,55737
Borrow Mut,Clone,,,,33949076.0,ns,57426
Borrow Mut,Clone,,,,35061711.0,ns,59115
Borrow Mut,Clone,,,,36299015.0,ns,60804
Borrow Mut,Clone,,,,37009783.0,ns,62493
Borrow Mut,Clone,,,,38241316.0,ns,64182
Borrow Mut,Clone,,,,39588803.0,ns,65871
Borrow Mut,Clone,,,,41568677.0,ns,67560
Borrow Mut,Clone,,,,39057170.0,ns,69249
Borrow Mut,Clone,,,,41092971.0,ns,70938
Borrow Mut,Clone,,,,41813218.0,ns,72627
Borrow Mut,Clone,,,,43103030.0,ns,74316
Borrow Mut,Clone,,,,43995138.0,ns,76005
Borrow Mut,Clone,,,,43433082.0,ns,77694
Borrow Mut,Clone,,,,45637048.0,ns,79383
Borrow Mut,Clone,,,,47474564.0,ns,81072
Borrow Mut,Clone,,,,47743110.0,ns,82761
Borrow Mut,Clone,,,,49509575.0,ns,84450
Borrow Mut,Clone,,,,51559397.0,ns,86139
Borrow Mut,Clone,,,,49585534.0,ns,87828
Borrow Mut,Clone,,,,52028461.0,ns,89517
Borrow Mut,Clone,,,,53183890.0,ns,91206
Borrow Mut,Clone,,,,54455678.0,ns,92895
Borrow Mut,Clone,,,,55901031.0,ns,94584
Borrow Mut,Clone,,,,54380482.0,ns,96273
Borrow Mut,Clone,,,,56587902.0,ns,97962
Borrow Mut,Clone,,,,58435239.0,ns,99651
Borrow Mut,Clone,,,,62548627.0,ns,101340
Borrow Mut,Clone,,,,63418592.0,ns,103029
Borrow Mut,Clone,,,,61123298.0,ns,104718
Borrow Mut,Clone,,,,63621407.0,ns,106407
Borrow Mut,Clone,,,,65379084.0,ns,108096
Borrow Mut,Clone,,,,62213994.0,ns,109785
Borrow Mut,Clone,,,,64058311.0,ns,111474
Borrow Mut,Clone,,,,65729414.0,ns,113163
Borrow Mut,Clone,,,,69614345.0,ns,114852
Borrow Mut,Clone,,,,68138199.0,ns,116541
Borrow Mut,Clone,,,,70036480.0,ns,118230
Borrow Mut,Clone,,,,71365361.0,ns,119919
Borrow Mut,Clone,,,,72968387.0,ns,121608
Borrow Mut,Clone,,,,73587327.0,ns,123297
Borrow Mut,Clone,,,,74527159.0,ns,124986
Borrow Mut,Clone,,,,77252023.0,ns,126675
Borrow Mut,Clone,,,,76760329.0,ns,128364
Borrow Mut,Clone,,,,77496837.0,ns,130053
Borrow Mut,Clone,,,,78622323.0,ns,131742
Borrow Mut,Clone,,,,77902186.0,ns,133431
Borrow Mut,Clone,,,,82317271.0,ns,135120
Borrow Mut,Clone,,,,80141913.0,ns,136809
Borrow Mut,Clone,,,,82627802.0,ns,138498
Borrow Mut,Clone,,,,83197886.0,ns,140187
Borrow Mut,Clone,,,,84534481.0,ns,141876
Borrow Mut,Clone,,,,85272851.0,ns,143565
Borrow Mut,Clone,,,,86357795.0,ns,145254
Borrow Mut,Clone,,,,88435232.0,ns,146943
Borrow Mut,Clone,,,,89643601.0,ns,148632
Borrow Mut,Clone,,,,89254332.0,ns,150321
Borrow Mut,Clone,,,,90545837.0,ns,152010
Borrow Mut,Clone,,,,91310421.0,ns,153699
Borrow Mut,Clone,,,,93816633.0,ns,155388
Borrow Mut,Clone,,,,93024354.0,ns,157077
Borrow Mut,Clone,,,,94512153.0,ns,158766
Borrow Mut,Clone,,,,96837891.0,ns,160455
Borrow Mut,Clone,,,,97066765.0,ns,162144
Borrow Mut,Clone,,,,98216887.0,ns,163833
Borrow Mut,Clone,,,,100115458.0,ns,165522
Borrow Mut,Clone,,,,99912715.0,ns,167211
Borrow Mut,Clone,,,,101529882.0,ns,168900
