group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Borrow Mut,Mutable Transmute,,,,1417992.0,ns,1930
Borrow Mut,Mutable Transmute,,,,2836390.0,ns,3860
Borrow Mut,Mutable Transmute,,,,3028294.0,ns,5790
Borrow Mut,Mutable Transmute,,,,3982416.0,ns,7720
Borrow Mut,Mutable Transmute,,,,6808231.0,ns,9650
Borrow Mut,Mutable Transmute,,,,5900987.0,ns,11580
Borrow Mut,Mutable Transmute,,,,6876521.0,ns,13510
Borrow Mut,Mutable Transmute,,,,7182002.0,ns,15440
Borrow Mut,Mutable Transmute,,,,8273758.0,ns,17370
Borrow Mut,Mutable Transmute,,,,9321105.0,ns,19300
Borrow Mut,Mutable Transmute,,,,10360382.0,ns,21230
Borrow Mut,Mutable Transmute,,,,11601165.0,ns,23160
Borrow Mut,Mutable Transmute,,,,12266854.0,ns,25090
Borrow Mut,Mutable Transmute,,,,13492267.0,ns,27020
Borrow Mut,Mutable Transmute,,,,14158095.0,ns,28950
Borrow Mut,Mutable Transmute,,,,15383527.0,ns,30880
Borrow Mut,Mutable Transmute,,,,16146723.0,ns,32810
Borrow Mut,Mutable Transmute,,,,17772595.0,ns,34740
Borrow Mut,Mutable Transmute,,,,18310722.0,ns,36670
Borrow Mut,Mutable Transmute,,,,19766977.0,ns,38600
Borrow Mut,Mutable Transmute,,,,20939918.0,ns,40530
Borrow Mut,Mutable Transmute,,,,22102348.0,ns,42460
Borrow Mut,Mutable Transmute,,,,23102130.0,ns,44390
Borrow Mut,Mutable Transmute,,,,25005832.0,ns,46320
Borrow Mut,Mutable Transmute,,,,25790056.0,ns,48250
Borrow Mut,Mutable Transmute,,,,25875986.0,ns,50180
Borrow Mut,Mutable Transmute,,,,22832290.0,ns,52110
Borrow Mut,Mutable Transmute,,,,24851357.0,ns,54040
Borrow Mut,Mutable Transmute,,,,26033443.0,ns,55970
Borrow Mut,Mutable Transmute,,,,27535801.0,ns,57900
Borrow Mut,Mutable Transmute,,,,28045656.0,ns,59830
Borrow Mut,Mutable Transmute,,,,30031053.0,ns,61760
Borrow Mut,Mutable Transmute,,,,30259781.0,ns,63690
Borrow Mut,Mutable Transmute,,,,30371889.0,ns,65620
Borrow Mut,Mutable Transmute,,,,31836573.0,ns,67550
Borrow Mut,Mutable Transmute,,,,32536898.0,ns,69480
Borrow Mut,Mutable Transmute,,,,33686765.0,ns,71410
Borrow Mut,Mutable Transmute,,,,34502750.0,ns,73340
Borrow Mut,Mutable Transmute,,,,35326366.0,ns,75270
Borrow Mut,Mutable Transmute,,,,36364779.0,ns,77200
Borrow Mut,Mutable Transmute,,,,37152562.0,ns,79130
Borrow Mut,Mutable Transmute,,,,39069514.0,ns,81060
Borrow Mut,Mutable Transmute,,,,41183714.0,ns,82990
Borrow Mut,Mutable Transmute,,,,42899429.0,ns,84920
Borrow Mut,Mutable Transmute,,,,44038321.0,ns,86850
Borrow Mut,Mutable Transmute,,,,45105249.0,ns,88780
Borrow Mut,Mutable Transmute,,,,46126679.0,ns,90710
Borrow Mut,Mutable Transmute,,,,47262262.0,ns,92640
Borrow Mut,Mutable Transmute,,,,45731282.0,ns,94570
Borrow Mut,Mutable Transmute,,,,48363547.0,ns,96500
Borrow Mut,Mutable Transmute,,,,50573444.0,ns,98430
Borrow Mut,Mutable Transmute,,,,51973845.0,ns,100360
Borrow Mut,Mutable Transmute,,,,51593518.0,ns,102290
