group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Borrow Mut,Mutable Transmute,,,,1270759.0,ns,1952
Borrow Mut,Mutable Transmute,,,,3080587.0,ns,3904
Borrow Mut,Mutable Transmute,,,,3437561.0,ns,5856
Borrow Mut,Mutable Transmute,,,,3619626.0,ns,7808
Borrow Mut,Mutable Transmute,,,,4537050.0,ns,9760
Borrow Mut,Mutable Transmute,,,,5817460.0,ns,11712
Borrow Mut,Mutable Transmute,,,,6248376.0,ns,13664
Borrow Mut,Mutable Transmute,,,,7751051.0,ns,15616
Borrow Mut,Mutable Transmute,,,,7969034.0,ns,17568
Borrow Mut,Mutable Transmute,,,,8902330.0,ns,19520
Borrow Mut,Mutable Transmute,,,,10266858.0,ns,21472
Borrow Mut,Mutable Transmute,,,,10756397.0,ns,23424
Borrow Mut,Mutable Transmute,,,,11520870.0,ns,25376
Borrow Mut,Mutable Transmute,,,,12617400.0,ns,27328
Borrow Mut,Mutable Transmute,,,,13319249.0,ns,29280
Borrow Mut,Mutable Transmute,,,,14429164.0,ns,31232
Borrow Mut,Mutable Transmute,,,,15236668.0,ns,33184
Borrow Mut,Mutable Transmute,,,,19706388.0,ns,35136
Borrow Mut,Mutable Transmute,,,,19397907.0,ns,37088
Borrow Mut,Mutable Transmute,,,,20435075.0,ns,39040
Borrow Mut,Mutable Transmute,,,,20636132.0,ns,40992
Borrow Mut,Mutable Transmute,,,,21350020.0,ns,42944
Borrow Mut,Mutable Transmute,,,,22096898.0,ns,44896
Borrow Mut,Mutable Transmute,,,,23243387.0,ns,46848
Borrow Mut,Mutable Transmute,,,,24408769.0,ns,48800
Borrow Mut,Mutable Transmute,,,,25406077.0,ns,50752
Borrow Mut,Mutable Transmute,,,,26570458.0,ns,52704
Borrow Mut,Mutable Transmute,,,,28066739.0,ns,54656
Borrow Mut,Mutable Transmute,,,,29701948.0,ns,56608
Borrow Mut,Mutable Transmute,,,,29382559.0,ns,58560
Borrow Mut,Mutable Transmute,,,,30881180.0,ns,60512
Borrow Mut,Mutable Transmute,,,,30212562.0,ns,62464
Borrow Mut,Mutable Transmute,,,,31928286.0,ns,64416
Borrow Mut,Mutable Transmute,,,,32225352.0,ns,66368
Borrow Mut,Mutable Transmute,,,,33428569.0,ns,68320
Borrow Mut,Mutable Transmute,,,,34258209.0,ns,70272
Borrow Mut,Mutable Transmute,,,,35252378.0,ns,72224
Borrow Mut,Mutable Transmute,,,,43040708.0,ns,74176
Borrow Mut,Mutable Transmute,,,,36146606.0,ns,76128
Borrow Mut,Mutable Transmute,,,,36995503.0,ns,78080
Borrow Mut,Mutable Transmute,,,,38276631.0,ns,80032
Borrow Mut,Mutable Transmute,,,,40269697.0,ns,81984
Borrow Mut,Mutable Transmute,,,,39125373.0,ns,83936
Borrow Mut,Mutable Transmute,,,,41649327.0,ns,85888
Borrow Mut,Mutable Transmute,,,,43769123.0,ns,87840
Borrow Mut,Mutable Transmute,,,,49685741.0,ns,89792
Borrow Mut,Mutable Transmute,,,,42961473.0,ns,91744
Borrow Mut,Mutable Transmute,,,,43495921.0,ns,93696
Borrow Mut,Mutable Transmute,,,,44163607.0,ns,95648
Borrow Mut,Mutable Transmute,,,,49804225.0,ns,97600
Borrow Mut,Mutable Transmute,,,,46353643.0,ns,99552
Borrow Mut,Mutable Transmute,,,,46721077.0,ns,101504
Borrow Mut,Mutable Transmute,,,,48349636.0,ns,103456
Borrow Mut,Mutable Transmute,,,,48378844.0,ns,105408
Borrow Mut,Mutable Transmute,,,,50065573.0,ns,107360
Borrow Mut,Mutable Transmute,,,,51715956.0,ns,109312
Borrow Mut,Mutable Transmute,,,,52358398.0,ns,111264
Borrow Mut,Mutable Transmute,,,,55960837.0,ns,113216
Borrow Mut,Mutable Transmute,,,,64216222.0,ns,115168
Borrow Mut,Mutable Transmute,,,,65960544.0,ns,117120
Borrow Mut,Mutable Transmute,,,,62992640.0,ns,119072
Borrow Mut,Mutable Transmute,,,,63205993.0,ns,121024
Borrow Mut,Mutable Transmute,,,,59292260.0,ns,122976
Borrow Mut,Mutable Transmute,,,,60785390.0,ns,124928
Borrow Mut,Mutable Transmute,,,,62676146.0,ns,126880
Borrow Mut,Mutable Transmute,,,,62521163.0,ns,128832
Borrow Mut,Mutable Transmute,,,,65251450.0,ns,130784
Borrow Mut,Mutable Transmute,,,,66624495.0,ns,132736
Borrow Mut,Mutable Transmute,,,,69010048.0,ns,134688
Borrow Mut,Mutable Transmute,,,,69359039.0,ns,136640
Borrow Mut,Mutable Transmute,,,,75968110.0,ns,138592
Borrow Mut,Mutable Transmute,,,,70105555.0,ns,140544
Borrow Mut,Mutable Transmute,,,,71519040.0,ns,142496
Borrow Mut,Mutable Transmute,,,,74730122.0,ns,144448
Borrow Mut,Mutable Transmute,,,,81495348.0,ns,146400
Borrow Mut,Mutable Transmute,,,,73062684.0,ns,148352
Borrow Mut,Mutable Transmute,,,,76676833.0,ns,150304
Borrow Mut,Mutable Transmute,,,,78363141.0,ns,152256
Borrow Mut,Mutable Transmute,,,,79084933.0,ns,154208
Borrow Mut,Mutable Transmute,,,,74770822.0,ns,156160
Borrow Mut,Mutable Transmute,,,,81063095.0,ns,158112
Borrow Mut,Mutable Transmute,,,,74307463.0,ns,160064
Borrow Mut,Mutable Transmute,,,,85777502.0,ns,162016
Borrow Mut,Mutable Transmute,,,,80245599.0,ns,163968
Borrow Mut,Mutable Transmute,,,,78077518.0,ns,165920
Borrow Mut,Mutable Transmute,,,,89727200.0,ns,167872
Borrow Mut,Mutable Transmute,,,,94581528.0,ns,169824
Borrow Mut,Mutable Transmute,,,,89734532.0,ns,171776
Borrow Mut,Mutable Transmute,,,,89160701.0,ns,173728
Borrow Mut,Mutable Transmute,,,,88352690.0,ns,175680
Borrow Mut,Mutable Transmute,,,,90029884.0,ns,177632
Borrow Mut,Mutable Transmute,,,,107275517.0,ns,179584
Borrow Mut,Mutable Transmute,,,,110732193.0,ns,181536
Borrow Mut,Mutable Transmute,,,,100882275.0,ns,183488
Borrow Mut,Mutable Transmute,,,,97982750.0,ns,185440
Borrow Mut,Mutable Transmute,,,,94130146.0,ns,187392
Borrow Mut,Mutable Transmute,,,,91772887.0,ns,189344
Borrow Mut,Mutable Transmute,,,,98804265.0,ns,191296
Borrow Mut,Mutable Transmute,,,,94508001.0,ns,193248
Borrow Mut,Mutable Transmute,,,,102691839.0,ns,195200
