group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bounded Vector,Unbounded,,,,1414296.0,ns,65
Bounded Vector,Unbounded,,,,3846498.0,ns,130
Bounded Vector,Unbounded,,,,3440173.0,ns,195
Bounded Vector,Unbounded,,,,4221265.0,ns,260
Bounded Vector,Unbounded,,,,4508791.0,ns,325
Bounded Vector,Unbounded,,,,6178089.0,ns,390
Bounded Vector,Unbounded,,,,6764041.0,ns,455
Bounded Vector,Unbounded,,,,8866833.0,ns,520
Bounded Vector,Unbounded,,,,8799410.0,ns,585
Bounded Vector,Unbounded,,,,10186335.0,ns,650
Bounded Vector,Unbounded,,,,10765232.0,ns,715
Bounded Vector,Unbounded,,,,11744444.0,ns,780
Bounded Vector,Unbounded,,,,13533178.0,ns,845
Bounded Vector,Unbounded,,,,14561527.0,ns,910
Bounded Vector,Unbounded,,,,14625141.0,ns,975
Bounded Vector,Unbounded,,,,15047968.0,ns,1040
Bounded Vector,Unbounded,,,,15647223.0,ns,1105
Bounded Vector,Unbounded,,,,17069669.0,ns,1170
Bounded Vector,Unbounded,,,,17912690.0,ns,1235
Bounded Vector,Unbounded,,,,18558369.0,ns,1300
Bounded Vector,Unbounded,,,,20428516.0,ns,1365
Bounded Vector,Unbounded,,,,21061211.0,ns,1430
Bounded Vector,Unbounded,,,,22139255.0,ns,1495
Bounded Vector,Unbounded,,,,22421964.0,ns,1560
Bounded Vector,Unbounded,,,,23224681.0,ns,1625
Bounded Vector,Unbounded,,,,24636335.0,ns,1690
Bounded Vector,Unbounded,,,,25810599.0,ns,1755
Bounded Vector,Unbounded,,,,26288631.0,ns,1820
Bounded Vector,Unbounded,,,,31322762.0,ns,1885
Bounded Vector,Unbounded,,,,29509669.0,ns,1950
Bounded Vector,Unbounded,,,,31202996.0,ns,2015
Bounded Vector,Unbounded,,,,35044346.0,ns,2080
Bounded Vector,Unbounded,,,,32508701.0,ns,2145
Bounded Vector,Unbounded,,,,32415949.0,ns,2210
Bounded Vector,Unbounded,,,,32918768.0,ns,2275
Bounded Vector,Unbounded,,,,34986991.0,ns,2340
Bounded Vector,Unbounded,,,,36083917.0,ns,2405
Bounded Vector,Unbounded,,,,37570722.0,ns,2470
Bounded Vector,Unbounded,,,,38540918.0,ns,2535
Bounded Vector,Unbounded,,,,37031643.0,ns,2600
Bounded Vector,Unbounded,,,,38297826.0,ns,2665
Bounded Vector,Unbounded,,,,40793879.0,ns,2730
Bounded Vector,Unbounded,,,,40269690.0,ns,2795
Bounded Vector,Unbounded,,,,44840630.0,ns,2860
Bounded Vector,Unbounded,,,,43199145.0,ns,2925
Bounded Vector,Unbounded,,,,47198509.0,ns,2990
Bounded Vector,Unbounded,,,,48856846.0,ns,3055
Bounded Vector,Unbounded,,,,54125154.0,ns,3120
Bounded Vector,Unbounded,,,,48366584.0,ns,3185
Bounded Vector,Unbounded,,,,50650451.0,ns,3250
Bounded Vector,Unbounded,,,,55914208.0,ns,3315
Bounded Vector,Unbounded,,,,52140697.0,ns,3380
Bounded Vector,Unbounded,,,,49633889.0,ns,3445
Bounded Vector,Unbounded,,,,56613270.0,ns,3510
Bounded Vector,Unbounded,,,,52191532.0,ns,3575
Bounded Vector,Unbounded,,,,53227979.0,ns,3640
Bounded Vector,Unbounded,,,,55655645.0,ns,3705
Bounded Vector,Unbounded,,,,57226757.0,ns,3770
Bounded Vector,Unbounded,,,,59705178.0,ns,3835
Bounded Vector,Unbounded,,,,57723910.0,ns,3900
Bounded Vector,Unbounded,,,,60157731.0,ns,3965
Bounded Vector,Unbounded,,,,59995934.0,ns,4030
Bounded Vector,Unbounded,,,,67638252.0,ns,4095
Bounded Vector,Unbounded,,,,60942850.0,ns,4160
Bounded Vector,Unbounded,,,,63716551.0,ns,4225
Bounded Vector,Unbounded,,,,71422308.0,ns,4290
Bounded Vector,Unbounded,,,,62587616.0,ns,4355
Bounded Vector,Unbounded,,,,64554094.0,ns,4420
Bounded Vector,Unbounded,,,,69145932.0,ns,4485
Bounded Vector,Unbounded,,,,72713652.0,ns,4550
Bounded Vector,Unbounded,,,,66010926.0,ns,4615
Bounded Vector,Unbounded,,,,69105573.0,ns,4680
Bounded Vector,Unbounded,,,,69045751.0,ns,4745
Bounded Vector,Unbounded,,,,75195279.0,ns,4810
Bounded Vector,Unbounded,,,,70925084.0,ns,4875
Bounded Vector,Unbounded,,,,74804722.0,ns,4940
Bounded Vector,Unbounded,,,,77130300.0,ns,5005
Bounded Vector,Unbounded,,,,76476114.0,ns,5070
Bounded Vector,Unbounded,,,,81805539.0,ns,5135
Bounded Vector,Unbounded,,,,90999658.0,ns,5200
Bounded Vector,Unbounded,,,,77969309.0,ns,5265
Bounded Vector,Unbounded,,,,77076668.0,ns,5330
Bounded Vector,Unbounded,,,,90796083.0,ns,5395
Bounded Vector,Unbounded,,,,84586451.0,ns,5460
Bounded Vector,Unbounded,,,,83830047.0,ns,5525
Bounded Vector,Unbounded,,,,85287939.0,ns,5590
Bounded Vector,Unbounded,,,,84617672.0,ns,5655
Bounded Vector,Unbounded,,,,82238819.0,ns,5720
Bounded Vector,Unbounded,,,,91081494.0,ns,5785
Bounded Vector,Unbounded,,,,88008096.0,ns,5850
Bounded Vector,Unbounded,,,,84899887.0,ns,5915
Bounded Vector,Unbounded,,,,99340905.0,ns,5980
Bounded Vector,Unbounded,,,,92345905.0,ns,6045
Bounded Vector,Unbounded,,,,106005847.0,ns,6110
Bounded Vector,Unbounded,,,,105043891.0,ns,6175
Bounded Vector,Unbounded,,,,99178804.0,ns,6240
Bounded Vector,Unbounded,,,,94428175.0,ns,6305
Bounded Vector,Unbounded,,,,91705255.0,ns,6370
Bounded Vector,Unbounded,,,,93132666.0,ns,6435
Bounded Vector,Unbounded,,,,95134827.0,ns,6500
