group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MPSC Multi-Send,Clone Send,,,,1420412.0,ns,1100
MPSC Multi-Send,Clone Send,,,,3097900.0,ns,2200
MPSC Multi-Send,Clone Send,,,,3596207.0,ns,3300
MPSC Multi-Send,Clone Send,,,,4219648.0,ns,4400
MPSC Multi-Send,Clone Send,,,,4574654.0,ns,5500
MPSC Multi-Send,Clone Send,,,,5873582.0,ns,6600
MPSC Multi-Send,Clone Send,,,,7561289.0,ns,7700
MPSC Multi-Send,Clone Send,,,,9217028.0,ns,8800
MPSC Multi-Send,Clone Send,,,,8398733.0,ns,9900
MPSC Multi-Send,Clone Send,,,,9249893.0,ns,11000
MPSC Multi-Send,Clone Send,,,,10312139.0,ns,12100
MPSC Multi-Send,Clone Send,,,,11128811.0,ns,13200
MPSC Multi-Send,Clone Send,,,,12333540.0,ns,14300
MPSC Multi-Send,Clone Send,,,,18317267.0,ns,15400
MPSC Multi-Send,Clone Send,,,,13949929.0,ns,16500
MPSC Multi-Send,Clone Send,,,,15071576.0,ns,17600
MPSC Multi-Send,Clone Send,,,,15763632.0,ns,18700
MPSC Multi-Send,Clone Send,,,,16987951.0,ns,19800
MPSC Multi-Send,Clone Send,,,,18350834.0,ns,20900
MPSC Multi-Send,Clone Send,,,,19179413.0,ns,22000
MPSC Multi-Send,Clone Send,,,,20193721.0,ns,23100
MPSC Multi-Send,Clone Send,,,,21126961.0,ns,24200
MPSC Multi-Send,Clone Send,,,,21244827.0,ns,25300
MPSC Multi-Send,Clone Send,,,,21906086.0,ns,26400
MPSC Multi-Send,Clone Send,,,,22930977.0,ns,27500
MPSC Multi-Send,Clone Send,,,,24986319.0,ns,28600
MPSC Multi-Send,Clone Send,,,,24665767.0,ns,29700
MPSC Multi-Send,Clone Send,,,,25708230.0,ns,30800
MPSC Multi-Send,Clone Send,,,,26837399.0,ns,31900
MPSC Multi-Send,Clone Send,,,,29743565.0,ns,33000
MPSC Multi-Send,Clone Send,,,,28768102.0,ns,34100
MPSC Multi-Send,Clone Send,,,,30858534.0,ns,35200
MPSC Multi-Send,Clone Send,,,,31075107.0,ns,36300
MPSC Multi-Send,Clone Send,,,,32408174.0,ns,37400
MPSC Multi-Send,Clone Send,,,,33632387.0,ns,38500
MPSC Multi-Send,Clone Send,,,,33764868.0,ns,39600
MPSC Multi-Send,Clone Send,,,,34587118.0,ns,40700
MPSC Multi-Send,Clone Send,,,,36543731.0,ns,41800
MPSC Multi-Send,Clone Send,,,,37892081.0,ns,42900
MPSC Multi-Send,Clone Send,,,,36397881.0,ns,44000
MPSC Multi-Send,Clone Send,,,,64275350.0,ns,45100
MPSC Multi-Send,Clone Send,,,,55694175.0,ns,46200
MPSC Multi-Send,Clone Send,,,,61594918.0,ns,47300
MPSC Multi-Send,Clone Send,,,,50092502.0,ns,48400
MPSC Multi-Send,Clone Send,,,,45955217.0,ns,49500
MPSC Multi-Send,Clone Send,,,,44993884.0,ns,50600
MPSC Multi-Send,Clone Send,,,,45731097.0,ns,51700
MPSC Multi-Send,Clone Send,,,,49148560.0,ns,52800
MPSC Multi-Send,Clone Send,,,,53534571.0,ns,53900
MPSC Multi-Send,Clone Send,,,,47981607.0,ns,55000
MPSC Multi-Send,Clone Send,,,,53393783.0,ns,56100
MPSC Multi-Send,Clone Send,,,,49743695.0,ns,57200
MPSC Multi-Send,Clone Send,,,,50729502.0,ns,58300
MPSC Multi-Send,Clone Send,,,,51849937.0,ns,59400
MPSC Multi-Send,Clone Send,,,,51786807.0,ns,60500
MPSC Multi-Send,Clone Send,,,,56156209.0,ns,61600
MPSC Multi-Send,Clone Send,,,,54220486.0,ns,62700
MPSC Multi-Send,Clone Send,,,,54990115.0,ns,63800
MPSC Multi-Send,Clone Send,,,,55818411.0,ns,64900
MPSC Multi-Send,Clone Send,,,,57863589.0,ns,66000
MPSC Multi-Send,Clone Send,,,,63442369.0,ns,67100
MPSC Multi-Send,Clone Send,,,,57191950.0,ns,68200
MPSC Multi-Send,Clone Send,,,,59461946.0,ns,69300
MPSC Multi-Send,Clone Send,,,,59633704.0,ns,70400
MPSC Multi-Send,Clone Send,,,,67873131.0,ns,71500
MPSC Multi-Send,Clone Send,,,,63052480.0,ns,72600
MPSC Multi-Send,Clone Send,,,,67127287.0,ns,73700
MPSC Multi-Send,Clone Send,,,,64757237.0,ns,74800
MPSC Multi-Send,Clone Send,,,,65233290.0,ns,75900
MPSC Multi-Send,Clone Send,,,,68581164.0,ns,77000
MPSC Multi-Send,Clone Send,,,,66850079.0,ns,78100
MPSC Multi-Send,Clone Send,,,,68528715.0,ns,79200
MPSC Multi-Send,Clone Send,,,,66620976.0,ns,80300
MPSC Multi-Send,Clone Send,,,,68772226.0,ns,81400
MPSC Multi-Send,Clone Send,,,,71881823.0,ns,82500
MPSC Multi-Send,Clone Send,,,,80123844.0,ns,83600
MPSC Multi-Send,Clone Send,,,,73516596.0,ns,84700
MPSC Multi-Send,Clone Send,,,,75121615.0,ns,85800
MPSC Multi-Send,Clone Send,,,,75310043.0,ns,86900
MPSC Multi-Send,Clone Send,,,,82753792.0,ns,88000
MPSC Multi-Send,Clone Send,,,,79428831.0,ns,89100
MPSC Multi-Send,Clone Send,,,,84057763.0,ns,90200
MPSC Multi-Send,Clone Send,,,,79914625.0,ns,91300
MPSC Multi-Send,Clone Send,,,,81370478.0,ns,92400
MPSC Multi-Send,Clone Send,,,,82476997.0,ns,93500
MPSC Multi-Send,Clone Send,,,,79686778.0,ns,94600
MPSC Multi-Send,Clone Send,,,,83065017.0,ns,95700
MPSC Multi-Send,Clone Send,,,,83074105.0,ns,96800
MPSC Multi-Send,Clone Send,,,,90681329.0,ns,97900
MPSC Multi-Send,Clone Send,,,,86561777.0,ns,99000
MPSC Multi-Send,Clone Send,,,,91536772.0,ns,100100
MPSC Multi-Send,Clone Send,,,,87088021.0,ns,101200
MPSC Multi-Send,Clone Send,,,,84932015.0,ns,102300
MPSC Multi-Send,Clone Send,,,,85703057.0,ns,103400
MPSC Multi-Send,Clone Send,,,,88906537.0,ns,104500
MPSC Multi-Send,Clone Send,,,,88999781.0,ns,105600
MPSC Multi-Send,Clone Send,,,,92572377.0,ns,106700
MPSC Multi-Send,Clone Send,,,,97223573.0,ns,107800
MPSC Multi-Send,Clone Send,,,,93286558.0,ns,108900
MPSC Multi-Send,Clone Send,,,,99541776.0,ns,110000
