group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MPSC Multi-Send,Clone Send,,,,1091953.0,ns,1121
MPSC Multi-Send,Clone Send,,,,2620599.0,ns,2242
MPSC Multi-Send,Clone Send,,,,3303552.0,ns,3363
MPSC Multi-Send,Clone Send,,,,4014485.0,ns,4484
MPSC Multi-Send,Clone Send,,,,4833464.0,ns,5605
MPSC Multi-Send,Clone Send,,,,5846368.0,ns,6726
MPSC Multi-Send,Clone Send,,,,7177867.0,ns,7847
MPSC Multi-Send,Clone Send,,,,8164681.0,ns,8968
MPSC Multi-Send,Clone Send,,,,8698003.0,ns,10089
MPSC Multi-Send,Clone Send,,,,9656509.0,ns,11210
MPSC Multi-Send,Clone Send,,,,10498508.0,ns,12331
MPSC Multi-Send,Clone Send,,,,11101340.0,ns,13452
MPSC Multi-Send,Clone Send,,,,12047708.0,ns,14573
MPSC Multi-Send,Clone Send,,,,13058343.0,ns,15694
MPSC Multi-Send,Clone Send,,,,13899963.0,ns,16815
MPSC Multi-Send,Clone Send,,,,14830746.0,ns,17936
MPSC Multi-Send,Clone Send,,,,15749492.0,ns,19057
MPSC Multi-Send,Clone Send,,,,16664110.0,ns,20178
MPSC Multi-Send,Clone Send,,,,17718278.0,ns,21299
MPSC Multi-Send,Clone Send,,,,20060747.0,ns,22420
MPSC Multi-Send,Clone Send,,,,20307359.0,ns,23541
MPSC Multi-Send,Clone Send,,,,21510959.0,ns,24662
MPSC Multi-Send,Clone Send,,,,22934707.0,ns,25783
MPSC Multi-Send,Clone Send,,,,23246995.0,ns,26904
MPSC Multi-Send,Clone Send,,,,24359077.0,ns,28025
MPSC Multi-Send,Clone Send,,,,25650195.0,ns,29146
MPSC Multi-Send,Clone Send,,,,26188515.0,ns,30267
MPSC Multi-Send,Clone Send,,,,26056562.0,ns,31388
MPSC Multi-Send,Clone Send,,,,26872249.0,ns,32509
MPSC Multi-Send,Clone Send,,,,27594513.0,ns,33630
MPSC Multi-Send,Clone Send,,,,27266486.0,ns,34751
MPSC Multi-Send,Clone Send,,,,28620738.0,ns,35872
MPSC Multi-Send,Clone Send,,,,31987715.0,ns,36993
MPSC Multi-Send,Clone Send,,,,31189152.0,ns,38114
MPSC Multi-Send,Clone Send,,,,32003512.0,ns,39235
MPSC Multi-Send,Clone Send,,,,32898500.0,ns,40356
MPSC Multi-Send,Clone Send,,,,34285523.0,ns,41477
MPSC Multi-Send,Clone Send,,,,35098899.0,ns,42598
MPSC Multi-Send,Clone Send,,,,36145107.0,ns,43719
MPSC Multi-Send,Clone Send,,,,34761604.0,ns,44840
MPSC Multi-Send,Clone Send,,,,37152620.0,ns,45961
MPSC Multi-Send,Clone Send,,,,39994505.0,ns,47082
MPSC Multi-Send,Clone Send,,,,40009369.0,ns,48203
MPSC Multi-Send,Clone Send,,,,40999672.0,ns,49324
MPSC Multi-Send,Clone Send,,,,41642816.0,ns,50445
MPSC Multi-Send,Clone Send,,,,42349210.0,ns,51566
MPSC Multi-Send,Clone Send,,,,44201299.0,ns,52687
MPSC Multi-Send,Clone Send,,,,47773642.0,ns,53808
MPSC Multi-Send,Clone Send,,,,57791328.0,ns,54929
MPSC Multi-Send,Clone Send,,,,52317961.0,ns,56050
MPSC Multi-Send,Clone Send,,,,45818950.0,ns,57171
MPSC Multi-Send,Clone Send,,,,47095043.0,ns,58292
MPSC Multi-Send,Clone Send,,,,51078027.0,ns,59413
MPSC Multi-Send,Clone Send,,,,49328339.0,ns,60534
MPSC Multi-Send,Clone Send,,,,52644724.0,ns,61655
MPSC Multi-Send,Clone Send,,,,53008735.0,ns,62776
MPSC Multi-Send,Clone Send,,,,52970834.0,ns,63897
MPSC Multi-Send,Clone Send,,,,55236545.0,ns,65018
MPSC Multi-Send,Clone Send,,,,56001104.0,ns,66139
MPSC Multi-Send,Clone Send,,,,57111784.0,ns,67260
MPSC Multi-Send,Clone Send,,,,55672735.0,ns,68381
MPSC Multi-Send,Clone Send,,,,61450587.0,ns,69502
MPSC Multi-Send,Clone Send,,,,59783208.0,ns,70623
MPSC Multi-Send,Clone Send,,,,60425038.0,ns,71744
MPSC Multi-Send,Clone Send,,,,59790867.0,ns,72865
MPSC Multi-Send,Clone Send,,,,62837079.0,ns,73986
MPSC Multi-Send,Clone Send,,,,63215141.0,ns,75107
MPSC Multi-Send,Clone Send,,,,64592464.0,ns,76228
MPSC Multi-Send,Clone Send,,,,65639319.0,ns,77349
MPSC Multi-Send,Clone Send,,,,68196411.0,ns,78470
MPSC Multi-Send,Clone Send,,,,66989317.0,ns,79591
MPSC Multi-Send,Clone Send,,,,65419948.0,ns,80712
MPSC Multi-Send,Clone Send,,,,66851284.0,ns,81833
MPSC Multi-Send,Clone Send,,,,67425620.0,ns,82954
MPSC Multi-Send,Clone Send,,,,69552555.0,ns,84075
MPSC Multi-Send,Clone Send,,,,70479699.0,ns,85196
MPSC Multi-Send,Clone Send,,,,71540247.0,ns,86317
MPSC Multi-Send,Clone Send,,,,73535535.0,ns,87438
MPSC Multi-Send,Clone Send,,,,73422537.0,ns,88559
MPSC Multi-Send,Clone Send,,,,74296687.0,ns,89680
MPSC Multi-Send,Clone Send,,,,75645668.0,ns,90801
MPSC Multi-Send,Clone Send,,,,73585986.0,ns,91922
MPSC Multi-Send,Clone Send,,,,74581491.0,ns,93043
MPSC Multi-Send,Clone Send,,,,79302646.0,ns,94164
MPSC Multi-Send,Clone Send,,,,77550603.0,ns,95285
MPSC Multi-Send,Clone Send,,,,78137788.0,ns,96406
MPSC Multi-Send,Clone Send,,,,79746541.0,ns,97527
MPSC Multi-Send,Clone Send,,,,79672904.0,ns,98648
MPSC Multi-Send,Clone Send,,,,83489818.0,ns,99769
MPSC Multi-Send,Clone Send,,,,82404656.0,ns,100890
MPSC Multi-Send,Clone Send,,,,87570758.0,ns,102011
MPSC Multi-Send,Clone Send,,,,85504458.0,ns,103132
MPSC Multi-Send,Clone Send,,,,87069073.0,ns,104253
MPSC Multi-Send,Clone Send,,,,86880636.0,ns,105374
MPSC Multi-Send,Clone Send,,,,84368494.0,ns,106495
MPSC Multi-Send,Clone Send,,,,89256306.0,ns,107616
MPSC Multi-Send,Clone Send,,,,87950711.0,ns,108737
MPSC Multi-Send,Clone Send,,,,89279672.0,ns,109858
MPSC Multi-Send,Clone Send,,,,90396742.0,ns,110979
MPSC Multi-Send,Clone Send,,,,90523594.0,ns,112100
