group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MPSC Multi-Send,No Clone Send,,,,1492839.0,ns,1298
MPSC Multi-Send,No Clone Send,,,,2847015.0,ns,2596
MPSC Multi-Send,No Clone Send,,,,3748057.0,ns,3894
MPSC Multi-Send,No Clone Send,,,,4387284.0,ns,5192
MPSC Multi-Send,No Clone Send,,,,4506575.0,ns,6490
MPSC Multi-Send,No Clone Send,,,,5832196.0,ns,7788
MPSC Multi-Send,No Clone Send,,,,6375722.0,ns,9086
MPSC Multi-Send,No Clone Send,,,,8098679.0,ns,10384
MPSC Multi-Send,No Clone Send,,,,8138334.0,ns,11682
MPSC Multi-Send,No Clone Send,,,,9081788.0,ns,12980
MPSC Multi-Send,No Clone Send,,,,10500491.0,ns,14278
MPSC Multi-Send,No Clone Send,,,,11885483.0,ns,15576
MPSC Multi-Send,No Clone Send,,,,11937089.0,ns,16874
MPSC Multi-Send,No Clone Send,,,,13336249.0,ns,18172
MPSC Multi-Send,No Clone Send,,,,13851593.0,ns,19470
MPSC Multi-Send,No Clone Send,,,,15115535.0,ns,20768
MPSC Multi-Send,No Clone Send,,,,15999426.0,ns,22066
MPSC Multi-Send,No Clone Send,,,,22059099.0,ns,23364
MPSC Multi-Send,No Clone Send,,,,18518078.0,ns,24662
MPSC Multi-Send,No Clone Send,,,,19372950.0,ns,25960
MPSC Multi-Send,No Clone Send,,,,20375023.0,ns,27258
MPSC Multi-Send,No Clone Send,,,,20588049.0,ns,28556
MPSC Multi-Send,No Clone Send,,,,21693893.0,ns,29854
MPSC Multi-Send,No Clone Send,,,,23230338.0,ns,31152
MPSC Multi-Send,No Clone Send,,,,23499466.0,ns,32450
MPSC Multi-Send,No Clone Send,,,,24622608.0,ns,33748
MPSC Multi-Send,No Clone Send,,,,25508548.0,ns,35046
MPSC Multi-Send,No Clone Send,,,,26514305.0,ns,36344
MPSC Multi-Send,No Clone Send,,,,27290208.0,ns,37642
MPSC Multi-Send,No Clone Send,,,,27979804.0,ns,38940
MPSC Multi-Send,No Clone Send,,,,30769384.0,ns,40238
MPSC Multi-Send,No Clone Send,,,,35345808.0,ns,41536
MPSC Multi-Send,No Clone Send,,,,31880699.0,ns,42834
MPSC Multi-Send,No Clone Send,,,,32617385.0,ns,44132
MPSC Multi-Send,No Clone Send,,,,33305197.0,ns,45430
MPSC Multi-Send,No Clone Send,,,,34659883.0,ns,46728
MPSC Multi-Send,No Clone Send,,,,37064241.0,ns,48026
MPSC Multi-Send,No Clone Send,,,,36821507.0,ns,49324
MPSC Multi-Send,No Clone Send,,,,36604157.0,ns,50622
MPSC Multi-Send,No Clone Send,,,,40146180.0,ns,51920
MPSC Multi-Send,No Clone Send,,,,42630658.0,ns,53218
MPSC Multi-Send,No Clone Send,,,,39745930.0,ns,54516
MPSC Multi-Send,No Clone Send,,,,42050355.0,ns,55814
MPSC Multi-Send,No Clone Send,,,,50475081.0,ns,57112
MPSC Multi-Send,No Clone Send,,,,48953107.0,ns,58410
MPSC Multi-Send,No Clone Send,,,,45913503.0,ns,59708
MPSC Multi-Send,No Clone Send,,,,45486637.0,ns,61006
MPSC Multi-Send,No Clone Send,,,,45806124.0,ns,62304
MPSC Multi-Send,No Clone Send,,,,52089066.0,ns,63602
MPSC Multi-Send,No Clone Send,,,,48088356.0,ns,64900
MPSC Multi-Send,No Clone Send,,,,51939747.0,ns,66198
MPSC Multi-Send,No Clone Send,,,,55546316.0,ns,67496
MPSC Multi-Send,No Clone Send,,,,53861728.0,ns,68794
MPSC Multi-Send,No Clone Send,,,,52418244.0,ns,70092
MPSC Multi-Send,No Clone Send,,,,50794302.0,ns,71390
MPSC Multi-Send,No Clone Send,,,,51223318.0,ns,72688
MPSC Multi-Send,No Clone Send,,,,54457393.0,ns,73986
MPSC Multi-Send,No Clone Send,,,,56350473.0,ns,75284
MPSC Multi-Send,No Clone Send,,,,57725313.0,ns,76582
MPSC Multi-Send,No Clone Send,,,,59429331.0,ns,77880
MPSC Multi-Send,No Clone Send,,,,59245937.0,ns,79178
MPSC Multi-Send,No Clone Send,,,,66994895.0,ns,80476
MPSC Multi-Send,No Clone Send,,,,64837632.0,ns,81774
MPSC Multi-Send,No Clone Send,,,,60047393.0,ns,83072
MPSC Multi-Send,No Clone Send,,,,59830501.0,ns,84370
MPSC Multi-Send,No Clone Send,,,,75334813.0,ns,85668
MPSC Multi-Send,No Clone Send,,,,65507456.0,ns,86966
MPSC Multi-Send,No Clone Send,,,,69206358.0,ns,88264
MPSC Multi-Send,No Clone Send,,,,67065063.0,ns,89562
MPSC Multi-Send,No Clone Send,,,,67967985.0,ns,90860
MPSC Multi-Send,No Clone Send,,,,80131470.0,ns,92158
MPSC Multi-Send,No Clone Send,,,,71846282.0,ns,93456
MPSC Multi-Send,No Clone Send,,,,70645020.0,ns,94754
MPSC Multi-Send,No Clone Send,,,,70910805.0,ns,96052
MPSC Multi-Send,No Clone Send,,,,72019991.0,ns,97350
MPSC Multi-Send,No Clone Send,,,,70129011.0,ns,98648
MPSC Multi-Send,No Clone Send,,,,72333558.0,ns,99946
MPSC Multi-Send,No Clone Send,,,,79152398.0,ns,101244
MPSC Multi-Send,No Clone Send,,,,78697880.0,ns,102542
MPSC Multi-Send,No Clone Send,,,,82227121.0,ns,103840
MPSC Multi-Send,No Clone Send,,,,77927258.0,ns,105138
MPSC Multi-Send,No Clone Send,,,,82627923.0,ns,106436
MPSC Multi-Send,No Clone Send,,,,79209131.0,ns,107734
MPSC Multi-Send,No Clone Send,,,,79008676.0,ns,109032
MPSC Multi-Send,No Clone Send,,,,79039978.0,ns,110330
MPSC Multi-Send,No Clone Send,,,,80186831.0,ns,111628
