group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Static Borrow,Borrowed COW,,,,14.0,ns,6088034254409069
Static Borrow,Borrowed COW,,,,13.0,ns,12176068508818138
Static Borrow,Borrowed COW,,,,14.0,ns,18264102763227208
Static Borrow,Borrowed COW,,,,14.0,ns,24352137017636276
Static Borrow,Borrowed COW,,,,15.0,ns,30440171272045344
Static Borrow,Borrowed COW,,,,14.0,ns,36528205526454416
Static Borrow,Borrowed COW,,,,14.0,ns,42616239780863480
Static Borrow,Borrowed COW,,,,14.0,ns,48704274035272552
Static Borrow,Borrowed COW,,,,15.0,ns,54792308289681624
Static Borrow,Borrowed COW,,,,14.0,ns,60880342544090688
Static Borrow,Borrowed COW,,,,15.0,ns,66968376798499760
Static Borrow,Borrowed COW,,,,13.0,ns,73056411052908832
Static Borrow,Borrowed COW,,,,14.0,ns,79144445307317904
Static Borrow,Borrowed COW,,,,15.0,ns,85232479561726960
Static Borrow,Borrowed COW,,,,15.0,ns,91320513816136032
Static Borrow,Borrowed COW,,,,15.0,ns,97408548070545104
Static Borrow,Borrowed COW,,,,15.0,ns,103496582324954176
Static Borrow,Borrowed COW,,,,14.0,ns,109584616579363248
Static Borrow,Borrowed COW,,,,15.0,ns,115672650833772304
Static Borrow,Borrowed COW,,,,14.0,ns,121760685088181376
Static Borrow,Borrowed COW,,,,14.0,ns,127848719342590448
Static Borrow,Borrowed COW,,,,14.0,ns,133936753596999520
Static Borrow,Borrowed COW,,,,14.0,ns,140024787851408592
Static Borrow,Borrowed COW,,,,15.0,ns,146112822105817664
Static Borrow,Borrowed COW,,,,14.0,ns,152200856360226720
Static Borrow,Borrowed COW,,,,15.0,ns,158288890614635808
Static Borrow,Borrowed COW,,,,15.0,ns,164376924869044864
Static Borrow,Borrowed COW,,,,14.0,ns,170464959123453920
Static Borrow,Borrowed COW,,,,15.0,ns,176552993377863008
Static Borrow,Borrowed COW,,,,14.0,ns,182641027632272064
Static Borrow,Borrowed COW,,,,14.0,ns,188729061886681152
Static Borrow,Borrowed COW,,,,14.0,ns,194817096141090208
Static Borrow,Borrowed COW,,,,14.0,ns,200905130395499264
Static Borrow,Borrowed COW,,,,15.0,ns,206993164649908352
Static Borrow,Borrowed COW,,,,14.0,ns,213081198904317408
Static Borrow,Borrowed COW,,,,14.0,ns,219169233158726496
Static Borrow,Borrowed COW,,,,14.0,ns,225257267413135552
Static Borrow,Borrowed COW,,,,14.0,ns,231345301667544608
Static Borrow,Borrowed COW,,,,15.0,ns,237433335921953696
Static Borrow,Borrowed COW,,,,14.0,ns,243521370176362752
Static Borrow,Borrowed COW,,,,14.0,ns,249609404430771840
Static Borrow,Borrowed COW,,,,15.0,ns,255697438685180896
Static Borrow,Borrowed COW,,,,14.0,ns,261785472939589952
Static Borrow,Borrowed COW,,,,15.0,ns,267873507193999040
Static Borrow,Borrowed COW,,,,14.0,ns,273961541448408096
Static Borrow,Borrowed COW,,,,15.0,ns,280049575702817184
Static Borrow,Borrowed COW,,,,14.0,ns,286137609957226240
Static Borrow,Borrowed COW,,,,14.0,ns,292225644211635328
Static Borrow,Borrowed COW,,,,15.0,ns,298313678466044352
Static Borrow,Borrowed COW,,,,14.0,ns,304401712720453440
Static Borrow,Borrowed COW,,,,15.0,ns,310489746974862528
Static Borrow,Borrowed COW,,,,14.0,ns,316577781229271616
Static Borrow,Borrowed COW,,,,14.0,ns,322665815483680640
Static Borrow,Borrowed COW,,,,14.0,ns,328753849738089728
Static Borrow,Borrowed COW,,,,14.0,ns,334841883992498816
Static Borrow,Borrowed COW,,,,15.0,ns,340929918246907840
Static Borrow,Borrowed COW,,,,14.0,ns,347017952501316928
Static Borrow,Borrowed COW,,,,15.0,ns,353105986755726016
Static Borrow,Borrowed COW,,,,14.0,ns,359194021010135040
Static Borrow,Borrowed COW,,,,14.0,ns,365282055264544128
Static Borrow,Borrowed COW,,,,14.0,ns,371370089518953216
Static Borrow,Borrowed COW,,,,14.0,ns,377458123773362304
Static Borrow,Borrowed COW,,,,15.0,ns,383546158027771328
Static Borrow,Borrowed COW,,,,14.0,ns,389634192282180416
Static Borrow,Borrowed COW,,,,14.0,ns,395722226536589504
Static Borrow,Borrowed COW,,,,14.0,ns,401810260790998528
Static Borrow,Borrowed COW,,,,14.0,ns,407898295045407616
Static Borrow,Borrowed COW,,,,15.0,ns,413986329299816704
Static Borrow,Borrowed COW,,,,14.0,ns,420074363554225792
Static Borrow,Borrowed COW,,,,15.0,ns,426162397808634816
Static Borrow,Borrowed COW,,,,14.0,ns,432250432063043904
Static Borrow,Borrowed COW,,,,14.0,ns,438338466317452992
Static Borrow,Borrowed COW,,,,14.0,ns,444426500571862016
Static Borrow,Borrowed COW,,,,15.0,ns,450514534826271104
Static Borrow,Borrowed COW,,,,14.0,ns,456602569080680192
Static Borrow,Borrowed COW,,,,14.0,ns,462690603335089216
Static Borrow,Borrowed COW,,,,14.0,ns,468778637589498304
Static Borrow,Borrowed COW,,,,15.0,ns,474866671843907392
Static Borrow,Borrowed COW,,,,15.0,ns,480954706098316480
Static Borrow,Borrowed COW,,,,14.0,ns,487042740352725504
Static Borrow,Borrowed COW,,,,14.0,ns,493130774607134592
Static Borrow,Borrowed COW,,,,15.0,ns,499218808861543680
Static Borrow,Borrowed COW,,,,14.0,ns,505306843115952704
Static Borrow,Borrowed COW,,,,14.0,ns,511394877370361792
Static Borrow,Borrowed COW,,,,14.0,ns,517482911624770880
Static Borrow,Borrowed COW,,,,14.0,ns,523570945879179904
Static Borrow,Borrowed COW,,,,15.0,ns,529658980133588992
Static Borrow,Borrowed COW,,,,14.0,ns,535747014387998080
Static Borrow,Borrowed COW,,,,13.0,ns,541835048642407168
Static Borrow,Borrowed COW,,,,14.0,ns,547923082896816192
Static Borrow,Borrowed COW,,,,15.0,ns,554011117151225280
Static Borrow,Borrowed COW,,,,15.0,ns,560099151405634368
Static Borrow,Borrowed COW,,,,14.0,ns,566187185660043392
Static Borrow,Borrowed COW,,,,14.0,ns,572275219914452480
Static Borrow,Borrowed COW,,,,14.0,ns,578363254168861568
Static Borrow,Borrowed COW,,,,14.0,ns,584451288423270656
Static Borrow,Borrowed COW,,,,15.0,ns,590539322677679744
Static Borrow,Borrowed COW,,,,14.0,ns,596627356932088704
Static Borrow,Borrowed COW,,,,14.0,ns,602715391186497792
Static Borrow,Borrowed COW,,,,14.0,ns,608803425440906880
