group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Static Borrow,Borrowed COW,,,,1082173.0,ns,2
Static Borrow,Borrowed COW,,,,2236511.0,ns,4
Static Borrow,Borrowed COW,,,,3154352.0,ns,6
Static Borrow,Borrowed COW,,,,4297519.0,ns,8
Static Borrow,Borrowed COW,,,,5440045.0,ns,10
Static Borrow,Borrowed COW,,,,6494612.0,ns,12
Static Borrow,Borrowed COW,,,,7597809.0,ns,14
Static Borrow,Borrowed COW,,,,8681940.0,ns,16
Static Borrow,Borrowed COW,,,,9770522.0,ns,18
Static Borrow,Borrowed COW,,,,10835597.0,ns,20
Static Borrow,Borrowed COW,,,,12185715.0,ns,22
Static Borrow,Borrowed COW,,,,13439664.0,ns,24
Static Borrow,Borrowed COW,,,,14235917.0,ns,26
Static Borrow,Borrowed COW,,,,15305859.0,ns,28
Static Borrow,Borrowed COW,,,,16280853.0,ns,30
Static Borrow,Borrowed COW,,,,17351720.0,ns,32
Static Borrow,Borrowed COW,,,,18481329.0,ns,34
Static Borrow,Borrowed COW,,,,19490919.0,ns,36
Static Borrow,Borrowed COW,,,,20569866.0,ns,38
Static Borrow,Borrowed COW,,,,21652034.0,ns,40
Static Borrow,Borrowed COW,,,,23050012.0,ns,42
Static Borrow,Borrowed COW,,,,23370789.0,ns,44
Static Borrow,Borrowed COW,,,,24300447.0,ns,46
Static Borrow,Borrowed COW,,,,25404570.0,ns,48
Static Borrow,Borrowed COW,,,,26458588.0,ns,50
Static Borrow,Borrowed COW,,,,27867670.0,ns,52
Static Borrow,Borrowed COW,,,,29044365.0,ns,54
Static Borrow,Borrowed COW,,,,29648823.0,ns,56
Static Borrow,Borrowed COW,,,,30704990.0,ns,58
Static Borrow,Borrowed COW,,,,31893812.0,ns,60
Static Borrow,Borrowed COW,,,,33522530.0,ns,62
Static Borrow,Borrowed COW,,,,34500147.0,ns,64
Static Borrow,Borrowed COW,,,,35160890.0,ns,66
Static Borrow,Borrowed COW,,,,35998697.0,ns,68
Static Borrow,Borrowed COW,,,,37953164.0,ns,70
Static Borrow,Borrowed COW,,,,38172660.0,ns,72
Static Borrow,Borrowed COW,,,,39768589.0,ns,74
Static Borrow,Borrowed COW,,,,40497853.0,ns,76
Static Borrow,Borrowed COW,,,,41586234.0,ns,78
Static Borrow,Borrowed COW,,,,42633211.0,ns,80
Static Borrow,Borrowed COW,,,,43774441.0,ns,82
Static Borrow,Borrowed COW,,,,44862711.0,ns,84
Static Borrow,Borrowed COW,,,,46652079.0,ns,86
Static Borrow,Borrowed COW,,,,47735808.0,ns,88
Static Borrow,Borrowed COW,,,,48707194.0,ns,90
Static Borrow,Borrowed COW,,,,49836127.0,ns,92
Static Borrow,Borrowed COW,,,,50346556.0,ns,94
Static Borrow,Borrowed COW,,,,50750214.0,ns,96
Static Borrow,Borrowed COW,,,,51884261.0,ns,98
Static Borrow,Borrowed COW,,,,52992596.0,ns,100
Static Borrow,Borrowed COW,,,,54081973.0,ns,102
Static Borrow,Borrowed COW,,,,55442878.0,ns,104
Static Borrow,Borrowed COW,,,,56605960.0,ns,106
Static Borrow,Borrowed COW,,,,57139138.0,ns,108
Static Borrow,Borrowed COW,,,,58590581.0,ns,110
Static Borrow,Borrowed COW,,,,59566348.0,ns,112
Static Borrow,Borrowed COW,,,,60964882.0,ns,114
Static Borrow,Borrowed COW,,,,61711895.0,ns,116
Static Borrow,Borrowed COW,,,,62802827.0,ns,118
Static Borrow,Borrowed COW,,,,63891875.0,ns,120
Static Borrow,Borrowed COW,,,,64493169.0,ns,122
Static Borrow,Borrowed COW,,,,67320693.0,ns,124
Static Borrow,Borrowed COW,,,,67158817.0,ns,126
Static Borrow,Borrowed COW,,,,68058321.0,ns,128
Static Borrow,Borrowed COW,,,,69267963.0,ns,130
Static Borrow,Borrowed COW,,,,70169224.0,ns,132
Static Borrow,Borrowed COW,,,,71377587.0,ns,134
Static Borrow,Borrowed COW,,,,72469007.0,ns,136
Static Borrow,Borrowed COW,,,,73558205.0,ns,138
Static Borrow,Borrowed COW,,,,75096375.0,ns,140
Static Borrow,Borrowed COW,,,,75679014.0,ns,142
Static Borrow,Borrowed COW,,,,71093771.0,ns,144
Static Borrow,Borrowed COW,,,,72584771.0,ns,146
Static Borrow,Borrowed COW,,,,74678339.0,ns,148
Static Borrow,Borrowed COW,,,,75455723.0,ns,150
Static Borrow,Borrowed COW,,,,76248410.0,ns,152
Static Borrow,Borrowed COW,,,,77435355.0,ns,154
Static Borrow,Borrowed COW,,,,78917745.0,ns,156
Static Borrow,Borrowed COW,,,,79840960.0,ns,158
Static Borrow,Borrowed COW,,,,87231790.0,ns,160
Static Borrow,Borrowed COW,,,,83857007.0,ns,162
Static Borrow,Borrowed COW,,,,79764699.0,ns,164
Static Borrow,Borrowed COW,,,,82759169.0,ns,166
Static Borrow,Borrowed COW,,,,83693889.0,ns,168
Static Borrow,Borrowed COW,,,,85088491.0,ns,170
Static Borrow,Borrowed COW,,,,86271387.0,ns,172
Static Borrow,Borrowed COW,,,,88132125.0,ns,174
Static Borrow,Borrowed COW,,,,85898657.0,ns,176
Static Borrow,Borrowed COW,,,,88319903.0,ns,178
Static Borrow,Borrowed COW,,,,90009699.0,ns,180
Static Borrow,Borrowed COW,,,,90531916.0,ns,182
Static Borrow,Borrowed COW,,,,92243402.0,ns,184
Static Borrow,Borrowed COW,,,,91634372.0,ns,186
Static Borrow,Borrowed COW,,,,91818835.0,ns,188
Static Borrow,Borrowed COW,,,,94313769.0,ns,190
Static Borrow,Borrowed COW,,,,97739616.0,ns,192
Static Borrow,Borrowed COW,,,,97724431.0,ns,194
Static Borrow,Borrowed COW,,,,98817693.0,ns,196
Static Borrow,Borrowed COW,,,,99701747.0,ns,198
Static Borrow,Borrowed COW,,,,100468851.0,ns,200
