group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Static Borrow,Owned COW,,,,2034715.0,ns,2
Static Borrow,Owned COW,,,,3845662.0,ns,4
Static Borrow,Owned COW,,,,5263723.0,ns,6
Static Borrow,Owned COW,,,,5509809.0,ns,8
Static Borrow,Owned COW,,,,6258694.0,ns,10
Static Borrow,Owned COW,,,,7288525.0,ns,12
Static Borrow,Owned COW,,,,8922063.0,ns,14
Static Borrow,Owned COW,,,,10169177.0,ns,16
Static Borrow,Owned COW,,,,11114169.0,ns,18
Static Borrow,Owned COW,,,,13070493.0,ns,20
Static Borrow,Owned COW,,,,14455585.0,ns,22
Static Borrow,Owned COW,,,,15179729.0,ns,24
Static Borrow,Owned COW,,,,17012811.0,ns,26
Static Borrow,Owned COW,,,,17931074.0,ns,28
Static Borrow,Owned COW,,,,18989093.0,ns,30
Static Borrow,Owned COW,,,,20006881.0,ns,32
Static Borrow,Owned COW,,,,20921846.0,ns,34
Static Borrow,Owned COW,,,,29534369.0,ns,36
Static Borrow,Owned COW,,,,24166432.0,ns,38
Static Borrow,Owned COW,,,,25666884.0,ns,40
Static Borrow,Owned COW,,,,26886784.0,ns,42
Static Borrow,Owned COW,,,,28991622.0,ns,44
Static Borrow,Owned COW,,,,29696801.0,ns,46
Static Borrow,Owned COW,,,,30555242.0,ns,48
Static Borrow,Owned COW,,,,32079667.0,ns,50
Static Borrow,Owned COW,,,,32792752.0,ns,52
Static Borrow,Owned COW,,,,33590183.0,ns,54
Static Borrow,Owned COW,,,,36246131.0,ns,56
Static Borrow,Owned COW,,,,38443746.0,ns,58
Static Borrow,Owned COW,,,,37441438.0,ns,60
Static Borrow,Owned COW,,,,39103305.0,ns,62
Static Borrow,Owned COW,,,,40975368.0,ns,64
Static Borrow,Owned COW,,,,42119247.0,ns,66
Static Borrow,Owned COW,,,,43780967.0,ns,68
Static Borrow,Owned COW,,,,43338951.0,ns,70
Static Borrow,Owned COW,,,,46224932.0,ns,72
Static Borrow,Owned COW,,,,46795085.0,ns,74
Static Borrow,Owned COW,,,,48563330.0,ns,76
Static Borrow,Owned COW,,,,49009256.0,ns,78
Static Borrow,Owned COW,,,,51701728.0,ns,80
Static Borrow,Owned COW,,,,59359412.0,ns,82
Static Borrow,Owned COW,,,,54507955.0,ns,84
Static Borrow,Owned COW,,,,55506240.0,ns,86
Static Borrow,Owned COW,,,,65246450.0,ns,88
Static Borrow,Owned COW,,,,57005460.0,ns,90
Static Borrow,Owned COW,,,,60389023.0,ns,92
Static Borrow,Owned COW,,,,60583088.0,ns,94
Static Borrow,Owned COW,,,,61227521.0,ns,96
Static Borrow,Owned COW,,,,61610931.0,ns,98
Static Borrow,Owned COW,,,,63614114.0,ns,100
Static Borrow,Owned COW,,,,63097501.0,ns,102
Static Borrow,Owned COW,,,,68665861.0,ns,104
Static Borrow,Owned COW,,,,65875750.0,ns,106
Static Borrow,Owned COW,,,,73499938.0,ns,108
Static Borrow,Owned COW,,,,69048613.0,ns,110
Static Borrow,Owned COW,,,,72198481.0,ns,112
Static Borrow,Owned COW,,,,75051582.0,ns,114
Static Borrow,Owned COW,,,,72953917.0,ns,116
Static Borrow,Owned COW,,,,81149330.0,ns,118
Static Borrow,Owned COW,,,,77241789.0,ns,120
Static Borrow,Owned COW,,,,78268441.0,ns,122
Static Borrow,Owned COW,,,,81664540.0,ns,124
Static Borrow,Owned COW,,,,84655654.0,ns,126
Static Borrow,Owned COW,,,,81727704.0,ns,128
Static Borrow,Owned COW,,,,83656301.0,ns,130
Static Borrow,Owned COW,,,,83211425.0,ns,132
Static Borrow,Owned COW,,,,84311409.0,ns,134
Static Borrow,Owned COW,,,,88017930.0,ns,136
Static Borrow,Owned COW,,,,88065469.0,ns,138
Static Borrow,Owned COW,,,,87148060.0,ns,140
Static Borrow,Owned COW,,,,101067848.0,ns,142
Static Borrow,Owned COW,,,,94702405.0,ns,144
Static Borrow,Owned COW,,,,92823780.0,ns,146
Static Borrow,Owned COW,,,,95374819.0,ns,148
Static Borrow,Owned COW,,,,96949938.0,ns,150
Static Borrow,Owned COW,,,,100881695.0,ns,152
Static Borrow,Owned COW,,,,103557954.0,ns,154
Static Borrow,Owned COW,,,,100248800.0,ns,156
Static Borrow,Owned COW,,,,100996936.0,ns,158
Static Borrow,Owned COW,,,,114566780.0,ns,160
Static Borrow,Owned COW,,,,117650035.0,ns,162
Static Borrow,Owned COW,,,,119901012.0,ns,164
Static Borrow,Owned COW,,,,110720162.0,ns,166
Static Borrow,Owned COW,,,,108249861.0,ns,168
Static Borrow,Owned COW,,,,111769521.0,ns,170
Static Borrow,Owned COW,,,,109191513.0,ns,172
Static Borrow,Owned COW,,,,110714599.0,ns,174
Static Borrow,Owned COW,,,,113970567.0,ns,176
Static Borrow,Owned COW,,,,113695793.0,ns,178
Static Borrow,Owned COW,,,,130622362.0,ns,180
Static Borrow,Owned COW,,,,118530755.0,ns,182
Static Borrow,Owned COW,,,,117789809.0,ns,184
Static Borrow,Owned COW,,,,119082518.0,ns,186
Static Borrow,Owned COW,,,,122618629.0,ns,188
Static Borrow,Owned COW,,,,125569167.0,ns,190
Static Borrow,Owned COW,,,,123414184.0,ns,192
Static Borrow,Owned COW,,,,123087285.0,ns,194
Static Borrow,Owned COW,,,,135267938.0,ns,196
Static Borrow,Owned COW,,,,128902931.0,ns,198
Static Borrow,Owned COW,,,,127777649.0,ns,200
