group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Static Borrow,Owned COW,,,,1667043.0,ns,2
Static Borrow,Owned COW,,,,3145955.0,ns,4
Static Borrow,Owned COW,,,,4247881.0,ns,6
Static Borrow,Owned COW,,,,5802600.0,ns,8
Static Borrow,Owned COW,,,,7134467.0,ns,10
Static Borrow,Owned COW,,,,8635797.0,ns,12
Static Borrow,Owned COW,,,,9520585.0,ns,14
Static Borrow,Owned COW,,,,11154815.0,ns,16
Static Borrow,Owned COW,,,,12815303.0,ns,18
Static Borrow,Owned COW,,,,12979200.0,ns,20
Static Borrow,Owned COW,,,,14353123.0,ns,22
Static Borrow,Owned COW,,,,16180476.0,ns,24
Static Borrow,Owned COW,,,,17717688.0,ns,26
Static Borrow,Owned COW,,,,19358292.0,ns,28
Static Borrow,Owned COW,,,,20828075.0,ns,30
Static Borrow,Owned COW,,,,22269497.0,ns,32
Static Borrow,Owned COW,,,,23769969.0,ns,34
Static Borrow,Owned COW,,,,25440527.0,ns,36
Static Borrow,Owned COW,,,,26708465.0,ns,38
Static Borrow,Owned COW,,,,28130737.0,ns,40
Static Borrow,Owned COW,,,,29283696.0,ns,42
Static Borrow,Owned COW,,,,29655652.0,ns,44
Static Borrow,Owned COW,,,,32656660.0,ns,46
Static Borrow,Owned COW,,,,33805351.0,ns,48
Static Borrow,Owned COW,,,,35489005.0,ns,50
Static Borrow,Owned COW,,,,37061620.0,ns,52
Static Borrow,Owned COW,,,,38686942.0,ns,54
Static Borrow,Owned COW,,,,37856495.0,ns,56
Static Borrow,Owned COW,,,,38417731.0,ns,58
Static Borrow,Owned COW,,,,41318386.0,ns,60
Static Borrow,Owned COW,,,,43048407.0,ns,62
Static Borrow,Owned COW,,,,44459027.0,ns,64
Static Borrow,Owned COW,,,,46323985.0,ns,66
Static Borrow,Owned COW,,,,47808512.0,ns,68
Static Borrow,Owned COW,,,,49629792.0,ns,70
Static Borrow,Owned COW,,,,50290066.0,ns,72
Static Borrow,Owned COW,,,,52006289.0,ns,74
Static Borrow,Owned COW,,,,53234317.0,ns,76
Static Borrow,Owned COW,,,,54497817.0,ns,78
Static Borrow,Owned COW,,,,55715258.0,ns,80
Static Borrow,Owned COW,,,,57232487.0,ns,82
Static Borrow,Owned COW,,,,58935837.0,ns,84
Static Borrow,Owned COW,,,,58255647.0,ns,86
Static Borrow,Owned COW,,,,62868788.0,ns,88
Static Borrow,Owned COW,,,,61395308.0,ns,90
Static Borrow,Owned COW,,,,62520854.0,ns,92
Static Borrow,Owned COW,,,,62595285.0,ns,94
Static Borrow,Owned COW,,,,65096152.0,ns,96
Static Borrow,Owned COW,,,,67243521.0,ns,98
Static Borrow,Owned COW,,,,71057677.0,ns,100
Static Borrow,Owned COW,,,,72875735.0,ns,102
Static Borrow,Owned COW,,,,77347617.0,ns,104
Static Borrow,Owned COW,,,,73918283.0,ns,106
Static Borrow,Owned COW,,,,75602309.0,ns,108
Static Borrow,Owned COW,,,,77030143.0,ns,110
Static Borrow,Owned COW,,,,78369736.0,ns,112
Static Borrow,Owned COW,,,,79694902.0,ns,114
Static Borrow,Owned COW,,,,81533038.0,ns,116
Static Borrow,Owned COW,,,,82793112.0,ns,118
Static Borrow,Owned COW,,,,83849776.0,ns,120
Static Borrow,Owned COW,,,,82371771.0,ns,122
Static Borrow,Owned COW,,,,84214638.0,ns,124
Static Borrow,Owned COW,,,,88803642.0,ns,126
Static Borrow,Owned COW,,,,92182820.0,ns,128
Static Borrow,Owned COW,,,,87931362.0,ns,130
Static Borrow,Owned COW,,,,91888704.0,ns,132
Static Borrow,Owned COW,,,,91593328.0,ns,134
Static Borrow,Owned COW,,,,96836193.0,ns,136
Static Borrow,Owned COW,,,,97702162.0,ns,138
Static Borrow,Owned COW,,,,97249390.0,ns,140
Static Borrow,Owned COW,,,,99094323.0,ns,142
Static Borrow,Owned COW,,,,96685940.0,ns,144
Static Borrow,Owned COW,,,,99495808.0,ns,146
Static Borrow,Owned COW,,,,102978570.0,ns,148
Static Borrow,Owned COW,,,,104783483.0,ns,150
Static Borrow,Owned COW,,,,107336216.0,ns,152
Static Borrow,Owned COW,,,,109770904.0,ns,154
Static Borrow,Owned COW,,,,111167121.0,ns,156
Static Borrow,Owned COW,,,,112885051.0,ns,158
Static Borrow,Owned COW,,,,110127143.0,ns,160
Static Borrow,Owned COW,,,,113052829.0,ns,162
Static Borrow,Owned COW,,,,113522610.0,ns,164
Static Borrow,Owned COW,,,,114865665.0,ns,166
Static Borrow,Owned COW,,,,117927401.0,ns,168
Static Borrow,Owned COW,,,,118575826.0,ns,170
Static Borrow,Owned COW,,,,119562494.0,ns,172
Static Borrow,Owned COW,,,,121490482.0,ns,174
Static Borrow,Owned COW,,,,125069281.0,ns,176
Static Borrow,Owned COW,,,,127542683.0,ns,178
Static Borrow,Owned COW,,,,122551698.0,ns,180
Static Borrow,Owned COW,,,,123491046.0,ns,182
Static Borrow,Owned COW,,,,126994239.0,ns,184
Static Borrow,Owned COW,,,,128636529.0,ns,186
Static Borrow,Owned COW,,,,131598009.0,ns,188
Static Borrow,Owned COW,,,,129649196.0,ns,190
Static Borrow,Owned COW,,,,132865719.0,ns,192
Static Borrow,Owned COW,,,,130876533.0,ns,194
Static Borrow,Owned COW,,,,131648323.0,ns,196
Static Borrow,Owned COW,,,,139628155.0,ns,198
Static Borrow,Owned COW,,,,138826331.0,ns,200
