group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Vector Get,Checked,,,,1707746.0,ns,1926
Vector Get,Checked,,,,2825506.0,ns,3852
Vector Get,Checked,,,,2927880.0,ns,5778
Vector Get,Checked,,,,3748735.0,ns,7704
Vector Get,Checked,,,,4605687.0,ns,9630
Vector Get,Checked,,,,7332307.0,ns,11556
Vector Get,Checked,,,,7010514.0,ns,13482
Vector Get,Checked,,,,7758226.0,ns,15408
Vector Get,Checked,,,,8662747.0,ns,17334
Vector Get,Checked,,,,9093832.0,ns,19260
Vector Get,Checked,,,,10306530.0,ns,21186
Vector Get,Checked,,,,11423190.0,ns,23112
Vector Get,Checked,,,,12036993.0,ns,25038
Vector Get,Checked,,,,12885992.0,ns,26964
Vector Get,Checked,,,,13914311.0,ns,28890
Vector Get,Checked,,,,15965780.0,ns,30816
Vector Get,Checked,,,,15678830.0,ns,32742
Vector Get,Checked,,,,16379525.0,ns,34668
Vector Get,Checked,,,,16880754.0,ns,36594
Vector Get,Checked,,,,18629272.0,ns,38520
Vector Get,Checked,,,,19081619.0,ns,40446
Vector Get,Checked,,,,19574938.0,ns,42372
Vector Get,Checked,,,,20892800.0,ns,44298
Vector Get,Checked,,,,23063138.0,ns,46224
Vector Get,Checked,,,,22184073.0,ns,48150
Vector Get,Checked,,,,23903417.0,ns,50076
Vector Get,Checked,,,,29257481.0,ns,52002
Vector Get,Checked,,,,25426435.0,ns,53928
Vector Get,Checked,,,,26584478.0,ns,55854
Vector Get,Checked,,,,27497079.0,ns,57780
Vector Get,Checked,,,,29117281.0,ns,59706
Vector Get,Checked,,,,28960720.0,ns,61632
Vector Get,Checked,,,,32342901.0,ns,63558
Vector Get,Checked,,,,32419878.0,ns,65484
Vector Get,Checked,,,,31665356.0,ns,67410
Vector Get,Checked,,,,32935926.0,ns,69336
Vector Get,Checked,,,,35255894.0,ns,71262
Vector Get,Checked,,,,38194990.0,ns,73188
Vector Get,Checked,,,,34498624.0,ns,75114
Vector Get,Checked,,,,36465129.0,ns,77040
Vector Get,Checked,,,,38108594.0,ns,78966
Vector Get,Checked,,,,40734982.0,ns,80892
Vector Get,Checked,,,,40597065.0,ns,82818
Vector Get,Checked,,,,40740750.0,ns,84744
Vector Get,Checked,,,,41327202.0,ns,86670
Vector Get,Checked,,,,41758948.0,ns,88596
Vector Get,Checked,,,,42397384.0,ns,90522
Vector Get,Checked,,,,44227658.0,ns,92448
Vector Get,Checked,,,,45426786.0,ns,94374
Vector Get,Checked,,,,45323562.0,ns,96300
Vector Get,Checked,,,,46167132.0,ns,98226
Vector Get,Checked,,,,47020097.0,ns,100152
Vector Get,Checked,,,,50912977.0,ns,102078
Vector Get,Checked,,,,54554835.0,ns,104004
Vector Get,Checked,,,,51157482.0,ns,105930
Vector Get,Checked,,,,52199383.0,ns,107856
Vector Get,Checked,,,,51557198.0,ns,109782
Vector Get,Checked,,,,52201743.0,ns,111708
Vector Get,Checked,,,,54345446.0,ns,113634
Vector Get,Checked,,,,54145360.0,ns,115560
Vector Get,Checked,,,,54381795.0,ns,117486
Vector Get,Checked,,,,57239247.0,ns,119412
Vector Get,Checked,,,,60871118.0,ns,121338
Vector Get,Checked,,,,58442527.0,ns,123264
Vector Get,Checked,,,,58551193.0,ns,125190
Vector Get,Checked,,,,59457732.0,ns,127116
Vector Get,Checked,,,,61479947.0,ns,129042
Vector Get,Checked,,,,62136749.0,ns,130968
Vector Get,Checked,,,,62252729.0,ns,132894
Vector Get,Checked,,,,62340031.0,ns,134820
Vector Get,Checked,,,,68839556.0,ns,136746
Vector Get,Checked,,,,64418861.0,ns,138672
Vector Get,Checked,,,,66832991.0,ns,140598
Vector Get,Checked,,,,69873800.0,ns,142524
Vector Get,Checked,,,,69299171.0,ns,144450
Vector Get,Checked,,,,69387020.0,ns,146376
Vector Get,Checked,,,,69631791.0,ns,148302
Vector Get,Checked,,,,69988242.0,ns,150228
Vector Get,Checked,,,,75220596.0,ns,152154
Vector Get,Checked,,,,71702777.0,ns,154080
Vector Get,Checked,,,,73991730.0,ns,156006
Vector Get,Checked,,,,75105074.0,ns,157932
Vector Get,Checked,,,,74699224.0,ns,159858
Vector Get,Checked,,,,75132036.0,ns,161784
Vector Get,Checked,,,,85936613.0,ns,163710
Vector Get,Checked,,,,85539773.0,ns,165636
Vector Get,Checked,,,,81613780.0,ns,167562
Vector Get,Checked,,,,80336509.0,ns,169488
Vector Get,Checked,,,,81693648.0,ns,171414
Vector Get,Checked,,,,89284948.0,ns,173340
Vector Get,Checked,,,,87509786.0,ns,175266
Vector Get,Checked,,,,84779210.0,ns,177192
Vector Get,Checked,,,,84764430.0,ns,179118
Vector Get,Checked,,,,84260572.0,ns,181044
Vector Get,Checked,,,,88238275.0,ns,182970
Vector Get,Checked,,,,86788897.0,ns,184896
Vector Get,Checked,,,,94290705.0,ns,186822
Vector Get,Checked,,,,90592857.0,ns,188748
Vector Get,Checked,,,,90991986.0,ns,190674
Vector Get,Checked,,,,94335183.0,ns,192600
